org_id	scientific_name	ncbi_taxon_id	in_proteins_dat	n_proteins	protein_ids	in_compounds_dat	n_compounds	compound_ids	n_genes	gene_ids	n_pathways_source	pathway_ids_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_pathway_files	gpml_name_form
TAX-3055	Chlamydomonas reinhardtii	3055	yes	281	CHLREDRAFT_106419-MONOMER; CHLREDRAFT_108283-MONOMER; CHLREDRAFT_113296-MONOMER; CHLREDRAFT_115936-MONOMER; CHLREDRAFT_116547-MONOMER (... 281 total)	yes	1	CPD-14899	245	CHLREDRAFT_106419; CHLREDRAFT_108283; CHLREDRAFT_113296; CHLREDRAFT_115936; CHLREDRAFT_116547 (... 245 total)	78	ARGDEGRAD-PWY; CALVIN-PWY; CHLOROPHYLL-SYN; COA-PWY; CYANCAT-PWY (... 78 total)	yes	yes	yes	yes	206	318	1	111	both
TAX-41568	Chrysanthemum x morifolium	41568	yes	2	MONOMER-18525; MONOMER-18527	no	0		2	G-17998; G-18000	3	PWY-5139; PWY-5295; PWY-7452	yes	yes	yes	no	10	10	0	5	resolved_name
TAX-36749	Chrysosplenium americanum	36749	yes	12	MONOMER-14285; MONOMER-14287; MONOMER-14288; MONOMER-14289; MONOMER-14291 (... 12 total)	no	0		4	G-15463; G-15464; G-15467; G-15473	8	PWY-6064; PWY-6199; PWY-6232; PWY-7150; PWY-7151 (... 8 total)	yes	yes	yes	no	20	40	0	10	resolved_name
TAX-3827	Cicer arietinum	3827	yes	40	CPLX-1130; CPLX-6929; MONOMER-11626; MONOMER-11627; MONOMER-1289 (... 40 total)	no	0		1	G-4761	16	PWY-116; PWY-2083; PWY-2321; PWY-2343; PWY-2345 (... 16 total)	yes	yes	yes	no	4	64	0	21	resolved_name
TAX-13427	Cichorium intybus	13427	yes	8	MONOMER-13557; MONOMER-13558; MONOMER-13607; MONOMER-13609; MONOMER-13610 (... 8 total)	no	0		3	G-10328; G-10329; G-12099	7	PWY-5733; PWY-5745; PWY-6540; PWY-6669; PWY-7057 (... 7 total)	yes	yes	yes	no	8	16	0	7	resolved_name
TAX-43462	Cinchona	43462	yes	2	MONOMER-13824; MONOMER-13825	no	0		0		1	PWY-5848	yes	no	yes	no	0	2	0	1	resolved_name
TAX-192326	Cinnamomum tenuipile	192326	yes	1	MONOMER-12834	no	0		1	G-9838	2	PWY-5290; PWY-5829	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-191224	Cistus creticus	191224	yes	2	MONOMER-14864; MONOMER-15960	no	0		2	G-11330; G-12269	3	PWY-5733; PWY-6645; PWY18C3-13	yes	yes	yes	no	4	4	0	4	resolved_name
TAX-76966	Citrus japonica	76966	yes	1	MONOMER-20246	no	0		1	G-55131	3	PWY-6602; PWY-7189; PWY-7897	yes	yes	yes	no	4	4	0	4	resolved_name
TAX-135197	Citrus junos	135197	yes	1	MONOMER-13547	no	0		1	G-10318	1	PWY-5725	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-37334	Citrus maxima	37334	yes	3	MONOMER-11932; MONOMER-14145; MONOMER-14785	no	0		1	G-9253	4	PWY-5094; PWY-5105; PWY-6010; PWY-6239	yes	yes	yes	no	2	4	0	4	resolved_name
TAX-2711	Citrus sinensis	2711	yes	1	MONOMER-14951	no	0		1	G-11401	1	PWY-6291	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-55188	Citrus unshiu	55188	yes	1	MONOMER-18283	no	0		1	G-17787	4	PWY-3101; PWY-5390; PWY-6787; PWY1F-FLAVSYN	yes	yes	yes	no	6	6	0	6	resolved_name
TAX-43166	Citrus x aurantium	43166	yes	1	MONOMER-11933	no	0		0		2	PWY-5094; PWY-5105	yes	no	yes	no	0	2	0	2	resolved_name
TAX-164113	Citrus x microcarpa	164113	yes	1	MONOMER-14960	no	0		1	G-11409	1	PWY-6294	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-37656	Citrus x paradisi	37656	yes	3	MONOMER-11931; MONOMER-15181; MONOMER-17773	no	0		2	G-11614; G-15447	14	PWY-5094; PWY-5105; PWY-5320; PWY-5321; PWY-5348 (... 14 total)	yes	yes	yes	no	27	29	0	16	resolved_name
TAX-36903	Clarkia breweri	36903	yes	12	CPLX-6224; CPLX-8656; MONOMER-10246; MONOMER-10302; MONOMER-10584 (... 12 total)	no	0		9	G-10250; G-10554; G-10557; G-10558; G-15939 (... 9 total)	13	PWY-4201; PWY-4203; PWY-5122; PWY-5123; PWY-5859 (... 13 total)	yes	yes	yes	no	10	24	0	18	resolved_name
TAX-90527	Cleretum bellidiforme	90527	yes	2	MONOMER-12783; MONOMER-12784	no	0		2	G-9796; G-9797	1	PWY-5399	yes	yes	yes	no	4	4	0	2	resolved_name
TAX-43366	Clitoria ternatea	43366	yes	6	CPLX-8691; MONOMER-12396; MONOMER-12402; MONOMER-12403; MONOMER-18042 (... 6 total)	no	0		2	G-16035; G-16036	2	PWY-5295; PWY-7280	yes	no	yes	no	0	7	0	3	resolved_name
TAX-13443	Coffea arabica	13443	yes	6	MONOMER-11670; MONOMER-11671; MONOMER-11673; MONOMER-11674; MONOMER-11675 (... 6 total)	no	0		6	G-9079; G-9080; G-9081; G-9082; G-9083 (... 6 total)	3	PWY-5037; PWY-5038; PWY-5039	yes	yes	yes	no	16	16	0	3	resolved_name
TAX-49390	Coffea canephora	49390	yes	6	MONOMER-14222; MONOMER-14223; MONOMER-14225; MONOMER-14258; MONOMER-14259 (... 6 total)	no	0		6	G-10860; G-10861; G-10863; G-10889; G-10890 (... 6 total)	12	PWY-1121; PWY-361; PWY-5710; PWY-5868; PWY-6039 (... 12 total)	yes	yes	yes	no	30	30	0	12	resolved_name
TAX-45005	Colchicum autumnale	45005	yes	3	MONOMER-13814; MONOMER-13815; MONOMER-13816	no	0		0		1	PWY-5846	yes	no	yes	no	0	3	0	1	resolved_name
TAX-4142	Coleus scutellarioides	4142	yes	4	MONOMER-11763; MONOMER-11764; MONOMER-11774; MONOMER-11775	no	0		1	G-9141	2	PWY-5048; PWY-5049	yes	yes	yes	no	3	10	0	3	resolved_name
TAX-13447	Conium maculatum	13447	yes	3	MONOMER-13621; MONOMER-13624; MONOMER-13626	no	0		0		1	PWY-5748	yes	no	yes	no	0	3	0	2	resolved_name
